Year,Country,Continent,Emission
10,Prière pour la tache des yeux,dédicace,5
10,Présences à Port-des-Prés,automne et hiver,5
10,La nuit tombe très vite,automne et hiver,5
10,Extrême-automne,automne et hiver,5
10,Une petite pluie,automne et hiver,5
10,Lettre,automne et hiver,5
10,Je suis moi par habitude,automne et hiver,5
10,Bouvreuil,automne et hiver,5
10,Le bûcheron à la poitrine froissée,automne et hiver,5
10,Récit,automne et hiver,5
10,Sous trois lampes,automne et hiver,5
10,Pigeons,automne et hiver,5
10,Derrière les feuilles mortes,automne et hiver,5
10,Adieu à une route morte,automne et hiver,5
10,Dire les travaux des hommes,automne et hiver,5
10,Bûcheron de mars,automne et hiver,5
10,Notre longue marche par un pays,automne et hiver,5
10,Air de la solitude,printemps,5
10,Ce n'est pas encore,printemps,5
10,Point de vue,printemps,5
10,L'énigme qui point,printemps,5
10,Ange,été,5
10,Une voile penche,été,5
10,Pigeon,été,5
10,Bonheur d'un instant à m’asseoir,été,5
10,Fernand contre le ciel,été,5
10,Comment la peindre immobile,été,5
10,Sommeil d’Aimé,été,5
10,Ce soir l’homme aiguise,été,5
10,Pouvoirs d’une prairie,automne et hiver,5
10,J'aimais la noire vallée,automne et hiver,5
10,Différence,automne et hiver,5
10,Sous la mince toison,automne et hiver,5
10,D'une certaine pureté,automne et hiver,5
10,Comme l’insecte sous les écorces,automne et hiver,5
10,Novembre ancien,automne et hiver,5
10,Près de la tombe,automne et hiver,5
10,Mémoire,automne et hiver,5
10,Prière pour la tache des yeux,dédicace,5
10,Présences à Port-des-Prés,automne et hiver,5
10,La nuit tombe très vite,automne et hiver,5
10,Extrême-automne,automne et hiver,5
10,Une petite pluie,automne et hiver,5
10,Lettre,automne et hiver,5
10,Je suis moi par habitude,automne et hiver,5
10,Bouvreuil,automne et hiver,5
10,Le bûcheron à la poitrine froissée,automne et hiver,5
10,Récit,automne et hiver,5
10,Sous trois lampes,automne et hiver,5
10,Pigeons,automne et hiver,5
10,Derrière les feuilles mortes,automne et hiver,5
10,Adieu à une route morte,automne et hiver,5
10,Dire les travaux des hommes,automne et hiver,5
10,Bûcheron de mars,automne et hiver,5
10,Notre longue marche par un pays,automne et hiver,5
10,Air de la solitude,printemps,5
10,Ce n'est pas encore,printemps,5
10,Point de vue,printemps,5
10,L'énigme qui point,printemps,5
10,Ange,été,5
10,Une voile penche,été,5
10,Pigeon,été,5
10,Bonheur d'un instant à m’asseoir,été,5
10,Fernand contre le ciel,été,5
10,Comment la peindre immobile,été,5
10,Sommeil d’Aimé,été,5
10,Ce soir l’homme aiguise,été,5
10,Pouvoirs d’une prairie,automne et hiver,5
10,J'aimais la noire vallée,automne et hiver,5
10,Différence,automne et hiver,5
10,Sous la mince toison,automne et hiver,5
10,D'une certaine pureté,automne et hiver,5
10,Comme l’insecte sous les écorces,automne et hiver,5
10,Novembre ancien,automne et hiver,5
10,Près de la tombe,automne et hiver,5
10,Mémoire,automne et hiver,5
10,Prière pour la tache des yeux,dédicace,5
10,Présences à Port-des-Prés,automne et hiver,5
10,La nuit tombe très vite,automne et hiver,5
10,Extrême-automne,automne et hiver,5
10,Une petite pluie,automne et hiver,5
10,Lettre,automne et hiver,5
10,Je suis moi par habitude,automne et hiver,5
10,Bouvreuil,automne et hiver,5
10,Le bûcheron à la poitrine froissée,automne et hiver,5
10,Récit,automne et hiver,5
10,Sous trois lampes,automne et hiver,5
10,Pigeons,automne et hiver,5
